OCC_TITLE,OCC_TITLE_URL,MEDIAN_PAY_YEAR,MEDIAN_PAY_HOUR,JOB_OUTLOOK,EDUCATION,EXPERIENCE,TRAINING,JOBS_2023,EMPLOYMENT_CHANGE,DUTIES,EDUCATION_DETAILS,QUALITIES,CERTIFICATIONS
Psychologists,https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm,"$92,740 per year",$44.59 per hour,7% (Faster than average),See How to Become One,None,Internship/residency,"207,500","14,000","Study behavior and brain function by observing, interviewing, and surveying individuals, Identify psychological, emotional, behavioral, or organizational issues and diagnose disorders, Research and identify behavioral or emotional issues, such as anxiety and depression, Test for patterns that will help them better understand and predict behavior, Discuss the results of testing with clients or their families and, if needed, develop treatment plans, Write articles, research papers, and reports to share findings","Psychologists typically need an advanced degree, such as a master’s or doctoral degree, in psychology. Licensing requirements vary by state and position. Psychologists typically need at least a master’s degree to enter the occupation. Applicants to graduate-level psychology programs typically have a bachelor's degree in a field such as psychology, education, or social science. Clinical and counseling psychologists typically need a Doctor of Philosophy (Ph.D.) in psychology or a Doctor of Psychology (Psy.D.) degree. Ph.D. programs usually emphasize research that culminates in a dissertation, while Psy.D. programs focus on applying psychological principles to working with clients or patients. As part of either program, students are typically required to complete an internship. Industrial–organizational psychologists typically need a master’s degree. Programs for these psychologists usually include courses in statistics, research design, and topics specific to understanding the relationships between people and workplaces. School psychologists typically need at least a master’s degree in school psychology. Other degrees for school psychologists include education specialist (Ed.S.) and doctoral (Ph.D. or Psy.D.) degrees. School psychologist programs include coursework in education and psychology to address both of these components in students’ development. These programs also usually require completion of an internship. Most psychologists need supervised experience to qualify for licensure, which may include an internship or postdoctoral training. These experiences provide an opportunity for prospective psychologists to use their knowledge in an applied setting. The required number of hours for internships varies by state. Most states require licensure for those who provide psychology services or use the title “psychologist.” All states and the District of Columbia require that psychologists who practice independently be licensed where they work. Licensing laws vary by state and by type of position. For more information, contact your state’s licensing board. Clinical and counseling psychologists are licensed in every state. School psychologists also typically need a credential, such as a license or certification from their state’s board of education. Licensure typically requires applicants to have earned a master’s or doctoral degree and completed supervised experience. They also may need to have passed the Examination for Professional Practice in Psychology (EPPP) administered by the Association of State and Provincial Psychology Boards (ASPPB). All states require psychologists to complete continuing education to maintain licensure. For more information about specific state requirements, visit the ASPPB. Certification, which may be optional or may be required by employers, is available from professional associations. For example, the American Board of Professional Psychology offers certification in areas such as clinical health psychology, couple and family psychology, and rehabilitation psychology. The American Board of Clinical Neuropsychology offers certification in neuropsychology. Board certification typically requires candidates to have a doctoral degree and pass an examination. Analytical skills. Psychologists examine the information they collect and draw logical conclusions. Communication skills. Psychologists spend much of their time speaking with people, writing reports, and describing their research. They must be able to convey ideas both orally and in writing. Compassion. Psychologists often work with people who are dealing with stressful and difficult situations, so they must empathize with their clients. Integrity. Psychologists need to keep client discussions confidential. Clients must be able to trust psychologists’ expertise in treating sensitive issues. Interpersonal skills. Psychologists must be able to build a rapport with clients and work well with a variety of specialists. Observational skills. Psychologists study individuals and groups to understand their interactions. For example, they may observe facial expressions and other body language for clues about their clients’ attitudes and behaviors. Patience. Psychologists must be able to remain calm when working with all types of clients, including those who may be distressed. Problem-solving skills. Psychologists collect information, design research, evaluate programs, and find treatments or solutions to mental and behavioral problems.","Analytical skills., Communication skills., Compassion., Integrity., Interpersonal skills., Observational skills., Patience., Problem-solving skills.",
Sociologists,https://www.bls.gov/ooh/life-physical-and-social-science/sociologists.htm,"$101,770 per year",$48.93 per hour,7% (Faster than average),Master's degree,None,None,"3,300",200,"Design research projects to test theories about social issues, Collect data through surveys, observations, interviews, and other sources, Analyze and draw conclusions from data, Prepare reports, articles, or presentations detailing their research findings, Collaborate with others, including social scientists and policymakers, regarding research findings and sociological issues, Develop and propose strategies or policies to solve social problems","Sociologists typically need at least a master’s degree to enter the occupation. Sociologists typically need a master’s degree to enter the occupation. Depending on the position, some employers prefer to hire candidates who have a Ph.D. Master's degree programs typically require applicants to have a bachelor's degree, but candidates may not need to have majored in sociology or a related social science field. Courses include research methods and statistics. Many programs also offer opportunities to gain experience through internships or by preparing reports for clients. Adaptability. Sociologists must let research guide their approach to the social issues they study and adjust their methods if needed. Analytical skills. Sociologists must be able to examine data and other information, often using statistical methods to test their theories. Communication skills. Sociologists need to be able to convey information clearly both in writing and orally, such as when presenting research. Critical-thinking skills. Sociologists collect, process, and synthesize information to draw logical conclusions about the topics they research. Interpersonal skills. Sociologists must be able to establish a rapport when conducting interviews. They also collaborate with social scientists and others as part of a team. Problem-solving skills. Sociologists propose strategies to resolve the social problems they study, basing solutions on the results of their research.","Adaptability., Analytical skills., Communication skills., Critical-thinking skills., Interpersonal skills., Problem-solving skills.",
Survey Researchers,https://www.bls.gov/ooh/life-physical-and-social-science/survey-researchers.htm,"$60,960 per year",$29.31 per hour,0% (Little or no change),Master's degree,None,None,"9,700",0,"Conduct background research on survey topics, Plan and design surveys, and determine appropriate survey methods, Test surveys to make sure that people will understand the questions being asked, Coordinate the work of survey interviewers and data collectors, Account for and solve problems caused by nonresponse or other sampling issues, Analyze data, using statistical software and techniques, Summarize survey data, using tables, graphs, and fact sheets, Evaluate surveys, the methods underlying them, and their performance to improve future surveys","Survey researchers typically need at least a master’s degree to enter the occupation. However, a bachelor’s degree may be sufficient for some entry-level positions. Survey researchers typically need a master’s degree or Ph.D. The master’s degree may be in a variety of fields, including marketing or survey research, statistics, or social sciences. A bachelor’s degree is sufficient for some entry-level positions. To prepare to enter this occupation, students should take courses in research methods, survey methodology, computer science, mathematics, and statistics. Many also may benefit from taking business courses, such as marketing and consumer behavior, and social science courses, such as psychology, sociology, and economics. Prospective survey researchers can gain experience through internships or fellowships. Many businesses, research and polling firms, and marketing companies offer internships for college students or recent graduates who want to work in market and survey research. These opportunities, which provide valuable experience, can be very helpful toward getting a job. Although survey researchers are not required by law to be licensed or certified, certification can show a level of professional competence. The Insights Association offers the Professional Researcher Certification for survey researchers. To qualify, candidates must have at least 3 years of experience working in opinion and marketing research, pass an exam, and be a member of a professional organization. Researchers must complete continuing education courses and apply for renewal every 2 years to maintain their certification. Analytical skills. Survey researchers must be able to apply statistical techniques to large amounts of data and interpret the results correctly. They also should be proficient in the statistical software used to analyze data. Communication skills. Survey researchers need strong communication skills when conducting surveys and interpreting and presenting results to clients. Critical-thinking skills. Survey researchers must design or choose a survey and a survey method that together best capture the information needed. They must also be able to look at the data and draw reasonable conclusions from the results of the survey. Detail oriented. Survey researchers must pay attention to details, because survey results depend on collecting, analyzing, and reporting the data accurately. Problem-solving skills. Survey researchers need problem-solving skills when identifying survey design issues, adjusting survey questions, and interpreting survey results.","Analytical skills., Communication skills., Critical-thinking skills., Detail oriented., Problem-solving skills.",
Urban and Regional Planners,https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm,"$81,800 per year",$39.33 per hour,4% (As fast as average),Master's degree,None,None,"45,200","2,000","Meet with stakeholders such as government officials, developers, and the public regarding development plans and land use, Gather and analyze data from field investigations and sources such as market research, censuses, and environmental studies, Assess the feasibility of site plans submitted by developers and identify needed changes, Recommend whether site plans should be approved or denied, Stay current on government policies such as zoning laws, building codes, and environmental regulations","Urban and regional planners typically need a bachelor’s or master’s degree from an accredited planning program to enter the occupation. Employers may prefer or require planners to be certified. Urban and regional planners typically need a master's degree in urban and regional planning or a related field. Admission to master's degree programs typically requires a bachelor’s degree. Programs usually do not specify a particular undergraduate degree for admission, but students may benefit from having a background in architecture, social science, business, or a related field. Accredited programs typically include coursework in subjects such as planning theory, land use law, and GIS for planning. Programs often have seminars and workshops, in which students learn to analyze and solve planning problems, and may offer concentrations in rural planning, urban revitalization, or other disciplines. Some entry-level positions require work experience in a related field, such as architecture, public policy, or economic development. Students may gain relevant experience through internships while enrolled in, or after completing, their degree program. Most states do not require urban and regional planners to be licensed. New Jersey is an exception; information about its licensing requirements is available from the regulatory board of New Jersey. Employers may prefer or require urban and regional planners to be certified. For example, the American Institute of Certified Planners (AICP) offers the AICP certification for planners who meet certain requirements and pass an exam. Analytical skills. Urban and regional planners evaluate information from a variety of sources, such as market research studies, censuses, and environmental impact studies. Communication skills. Urban and regional planners prepare research reports and presentations. They must be able to effectively convey project details to a variety of stakeholders, such as public officials, interest groups, and community members. Decision-making skills. Urban and regional planners must consider a range of options when determining whether site plans should be approved or denied. Interpersonal skills. Urban and regional planners must be able to establish and maintain relationships with stakeholders. Leadership skills. Urban and regional planners must be able to manage projects, which may include delegating tasks and planning assignments.","Analytical skills., Communication skills., Decision-making skills., Interpersonal skills., Leadership skills.",
Zoologists and Wildlife Biologists,https://www.bls.gov/ooh/life-physical-and-social-science/zoologists-and-wildlife-biologists.htm,"$70,600 per year",$33.94 per hour,4% (As fast as average),Bachelor's degree,None,None,"18,800",800,"Develop and conduct experimental studies with animals in controlled or natural surroundings, Collect and analyze specimens and other biological data, Study the characteristics of animals, such as their reproduction, interactions with other species, diseases, and movement patterns, Research, initiate, and maintain breeding programs that support game animals, endangered species, or other terrestrial or aquatic wildlife, Estimate, monitor, and manage wildlife populations and invasive species, Analyze how human activity influences wildlife and their natural habitats, Develop and implement programs to prevent harm to wildlife from human activities, including farming and aircraft operations, Write research papers, reports, and other documents that explain their findings, Present research findings to academics, policymakers, and the public, Develop conservation plans and recommend action related to wildlife conservation and management, Cetologists study marine mammals, such as whales and dolphins., Entomologists study insects, such as beetles and butterflies., Herpetologists study reptiles and amphibians, such as snakes and frogs., Ichthyologists study wild fish, such as sharks and lungfish., Malacologists study mollusks, such as snails and clams., Mammalogists study mammals, such as monkeys and bears., Ornithologists study birds, such as hawks and penguins., Teuthologists study cephalopods, such as octopuses and cuttlefish., Anatomy is the study of structure of organisms and their parts., Embryology is the study of the development of embryos and fetuses., Ethology, sometimes called behavioral ecology, is the study of animal behaviors as natural or adaptive traits., Histology, or microscopic anatomy, is the study of cells and tissues in plants and animals., Physiology is the study of the normal function of living systems., Soil zoology is the study of animals which live fully or partially in the soil., Teratology is the study of abnormal physiological development., Zoography is the study of descriptive zoology and describes plants and animals.","Zoologists and wildlife biologists typically need a bachelor’s degree for entry-level positions and may need a master’s degree for higher level jobs. They typically need a Ph.D. to lead research projects. Zoologists and wildlife biologists typically need a bachelor’s degree to enter the occupation. Students may pursue a degree in zoology, wildlife biology, or a related field, such as natural resources. Some students major in biology and take coursework in zoology and wildlife biology. Zoologists and wildlife biologists typically need at least a master’s degree for higher level positions and a Ph.D. for independent research positions. Coursework in undergraduate and graduate-level science programs often includes academic, laboratory, and field work. In addition, students may need to take mathematics and statistics to learn data analysis. Zoology and wildlife biology students may gain practical experience through internships, volunteer work, or other employment during college. Some zoologists and wildlife biologists need outdoor skills to work in remote locations. For example, they may need to be comfortable driving a tractor, boat, or all-terrain vehicle (ATV); using a generator; or providing for themselves. Zoologists and wildlife biologists typically take on greater responsibility and independence in their work as they gain experience or have more education. For example, zoologists and wildlife biologists with a Ph.D. may lead independent research and control the direction and content of projects. Attention to detail. Zoologists and wildlife biologists must be able to notice changes in an animal’s behavior or appearance. Communication skills. Zoologists and wildlife biologists write about and present their research to the public, policymakers, and academic audiences. Critical-thinking skills. Zoologists and wildlife biologists need sound reasoning and judgment to draw conclusions from their experiments and observations. Interpersonal skills. Zoologists and wildlife biologists typically work on teams and must be able to work effectively with others. Outdoor skills. Zoologists and wildlife biologists may need to navigate rough terrain, carry heavy equipment for long distances, or perform other activities associated with living in remote areas. Problem-solving skills. Zoologists and wildlife biologists try to find solutions to wildlife threats, such as disease and habitat loss.","Attention to detail., Communication skills., Critical-thinking skills., Interpersonal skills., Outdoor skills., Problem-solving skills.",
Administrative Services and Facilities Managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm,"$104,900 per year",$50.44 per hour,6% (Faster than average),Bachelor's degree,Less than 5 years,None,"397,300","23,400","Supervise staff, Set goals and deadlines for their department or facility, Recommend changes to policies or procedures in order to improve operations, such as reassessing supplies or recordkeeping, Monitor facilities to make sure that they remain safe, secure, and well maintained, Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems, Make sure that facilities meet environmental, health, and security standards and comply with regulations","Educational requirements for administrative services and facilities managers vary by organization and the work they do. But these workers typically need a bachelor’s degree and related work experience. Administrative services and facilities managers typically need a bachelor’s degree, often in business or a related field. However, some people enter the occupation with a high school diploma. Administrative services and facilities managers must have related work experience that reflects managerial and leadership abilities. Facilities managers should have experience in business operations, project management, and building maintenance, such as from having worked as a general maintenance and repair worker or a cost estimator. Records and information managers should have administrative or business operations experience involving recordkeeping. Records and information managers in the legal field often must have experience as a paralegal or legal assistant. Although it is not required, professional certification may give candidates an advantage when applying for jobs. Several professional associations for administrative services and facilities managers offer certifications. Some associations, including the International Facility Management Association (IFMA), offer certification that specializes in facility management. Others offering certification include the Institute of Certified Records Managers (ICRM), for records and information managers, and the ARMA International for those specializing in information governance. Analytical skills. Administrative services and facilities managers must be able to review an organization’s procedures for ways to improve efficiency. Communication skills. Administrative services and facilities managers often work with others. They must be able to convey ideas clearly, both orally and in writing. Detail oriented. Administrative services and facilities managers must pay attention to details across a range of tasks, such as ensuring that the organization complies with building codes and managing the process of buying equipment. Leadership skills. In directing workers and coordinating organizational duties, administrative services and facilities managers must be able to motivate employees and handle problems that arise.","Analytical skills., Communication skills., Detail oriented., Leadership skills.",
"Advertising, Promotions, and Marketing Managers",https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,"$156,580 per year",$75.28 per hour,8% (Faster than average),Bachelor's degree,See How to Become One,None,"411,300","31,100","Work with department heads or staff to discuss topics such as budgets and contracts, creative vision, marketing plans, and media buying, Plan promotional campaigns, such as contests or giveaways, to boost brand loyalty and reach new customers, Plan advertising campaigns, including in which media—such as radio, television, or email—to advertise, Negotiate advertising contracts with clients and partners, Evaluate the look and feel of displays or websites in advertising or marketing campaigns, Initiate market research studies and analyze their findings to understand customer and market opportunities for businesses, Develop pricing and other strategies, such as how to acquire and retain customers and manage their data, for marketing products or services, Meet and strategize with clients to provide marketing or related advice, Direct the hiring and daily activities of advertising, promotions, and marketing staff","Advertising, promotions, and marketing managers typically need a bachelor’s degree. They also typically need work experience in a related occupation. Advertising, promotions, and marketing managers typically need a bachelor’s degree in a business field, such as marketing, or in a related field, such as communications. Relevant courses might include consumer behavior, market research, and art history. Some employers prefer to hire candidates who have a master’s degree. Advertising and marketing managers may begin as trainees or participate in mentoring or shadowing opportunities. In addition, completing an internship while in school may make candidates more attractive to prospective employers. These managers typically need work experience in a related advertising, marketing, promotions, or sales occupation. For example, they may have worked as sales representatives, market research analysts, or public relations specialists. Analytical skills. Advertising, promotions, and marketing managers must be able to evaluate industry trends and determine the best strategies for their clients. Communication skills. These workers must be able to collaborate with other managers and staff. They also must be persuasive in communicating with the public. Creativity. Advertising, promotions, and marketing managers must be able to generate new and imaginative ideas. Decision-making skills. These workers often must choose between competing advertising and marketing strategies put forward by staff. Interpersonal skills. Managers must deal with a range of people and personalities in different roles, both inside and outside their organization. Organizational skills. Advertising, promotions, and marketing managers must manage their time and budget efficiently while directing and motivating staff.","Analytical skills., Communication skills., Creativity., Decision-making skills., Interpersonal skills., Organizational skills.",
Architectural and Engineering Managers,https://www.bls.gov/ooh/management/architectural-and-engineering-managers.htm,"$165,370 per year",$79.50 per hour,6% (Faster than average),Bachelor's degree,5 years or more,None,"210,200","11,600","Make detailed plans to research and develop products, processes, or designs, Determine staff, training, and equipment needs, Propose budgets for projects and programs, Hire and supervise staff, Oversee research and development projects, including directing staff output and quality, Coordinate work and collaborate with other staff and managers","To enter the occupation, architectural and engineering managers typically need at least a bachelor’s degree and considerable work experience as an architect or engineer. Architectural and engineering managers typically need at least a bachelor's degree in engineering or architecture. Bachelor’s degree programs in architecture and engineering usually include coursework in mathematics and physical sciences. In addition, architecture programs may include courses such as architectural history and theory, computer-aided design and drafting (CADD), and construction methods; these programs take about 5 years to complete. Engineering programs vary by concentration and often take about 4 years of classroom, laboratory, and field studies in engineering principles and systems. Architectural and engineering managers or prospective managers may complete a master’s degree in engineering management (MEM or MsEM), technology management (MSTM), or business administration (MBA). Some earn their master’s degree before entering a management position; others earn it while working as a manager. Typically, those who prefer to manage in technical areas pursue an MsEM or MSTM, and those interested in general management skills earn an MBA. Engineering and technology management programs include courses such as accounting, marketing, and finance that focus on the particular field. Programs in engineering management also include coursework in supply chain management and product development. Programs in technology management include courses in information security and systems development. Architectural and engineering managers typically do not need a license. However, these managers may advance from other occupations that do require licensure. For example, all states require architects to be licensed, and some engineers obtain a professional engineering (PE) license. Contact your state licensing board for more information. Some managers choose to earn certification. For example, certification in technology management is available from the Association of Technology, Management, and Applied Engineering. Architectural and engineering managers typically advance to their positions after years of experience as an architect or engineer. In those positions, they may have worked on complex projects, developed designs, solved problems, and led teams. Analytical skills. Architectural and engineering managers evaluate information to solve problems. Communication skills. Architectural and engineering managers must effectively convey information and expectations related to projects. Interpersonal skills. Architectural and engineering managers must be able to collaborate with other staff to meet deadlines and achieve goals. Leadership skills. Architectural and engineering managers lead teams, which requires an ability to organize, direct, and motivate others. Math skills. Architectural and engineering managers use calculus and other mathematics to develop new products and processes. Organizational skills. Architectural and engineering managers keep track of many workers, schedules, and budgets simultaneously.","Analytical skills., Communication skills., Interpersonal skills., Leadership skills., Math skills., Organizational skills.",
Compensation and Benefits Managers,https://www.bls.gov/ooh/management/compensation-and-benefits-managers.htm,"$136,380 per year",$65.57 per hour,2% (Slower than average),Bachelor's degree,5 years or more,None,"19,100",400,"Coordinate and supervise the work activities of staff, Set the organization’s pay and benefits structure, Monitor competitive wage rates to develop or modify compensation plans, Choose and manage outside partners, such as benefits vendors, insurance brokers, and investment managers, Oversee the distribution of pay and benefits information to the organization’s employees, Ensure that pay and benefits plans comply with federal and state regulations, Prepare a program budget and operate within that budget","Compensation and benefits managers typically need a combination of education and related work experience. For most positions, compensation and benefits managers typically need a bachelor’s degree in business, human resources, or a related field, such as social science or psychology. Work experience is essential for compensation and benefits managers. Managers often specialize in either compensation or benefits, depending on the experience they gain in previous jobs. Managers often start out as compensation, benefits, and job analysis specialists. Work experience in other human resource fields, in finance, or in management is also helpful. Although not required, certification gives compensation and benefits managers credibility because it shows that they have expertise. Employers may prefer to hire candidates with certification, and some positions require it. Certification often requires several years of related work experience and passing an exam. Professional associations, including the Society for Human Resource Management, the International Foundation of Employee Benefit Plans and WorldatWork, offer certification programs that may be helpful for compensation and benefits managers. Analytical skills. Compensation and benefits managers analyze data on wages and salaries and the cost of benefits, and they assess and devise programs that best fit an organization and its employees. Business skills. These managers oversee a budget, build a case for their recommendations, and understand how compensation and benefits plans affect an organization’s finances. Communication skills. Compensation and benefits managers direct staff, give presentations, and work with colleagues. With each of these groups, they must be able to clearly explain concepts and respond to concerns. Decision-making skills. These managers weigh the strengths and weaknesses of different pay structures and benefits plans and choose the best options for an organization. Leadership skills. Compensation and benefits managers coordinate the activities of their staff and administer compensation and benefits programs, ensuring that the work is completed accurately and on schedule.","Analytical skills., Business skills., Communication skills., Decision-making skills., Leadership skills.",
Computer and Information Systems Managers,https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm,"$169,510 per year",$81.50 per hour,17% (Much faster than average),Bachelor's degree,5 years or more,None,"613,500","106,900","Analyze their organization’s IT needs and recommend possible upgrades, Plan and direct the installation and maintenance of computer hardware and software, Establish and maintain processes to detect, prevent, and mitigate IT security threats, Assess the costs and benefits of new projects and justify funding for projects, Determine personnel needs for their department, Plan and direct the work of other IT staff, including computer systems analysts, software developers, information security analysts, and computer support specialists, Negotiate with and monitor vendors to ensure high-quality performance for the organization’s IT needs","Computer and information systems managers typically need a bachelor’s degree in computer science or information technology, plus related work experience, to enter the occupation. Some employers require or prefer that candidates have a graduate degree. Computer and information systems managers typically need a bachelor's degree in computer and information technology or a related field, such as engineering technologies. These degrees include courses in computer programming, software development, and mathematics. Management information systems (MIS) programs usually include business classes as well as computer-related ones. Some organizations require or prefer that computer and information systems managers have a graduate degree in computer science, information technology, or business administration. Computer and information systems managers typically need work experience in a related information technology (IT) job. The length and type of experience required may vary by position. For example, a help desk manager may need several years of experience as a computer support specialist, while an IT security manager may need to have worked as an information security analyst. Chief technology officers (CTOs), IT directors, and other senior-level managers usually need many years and extensive experience in the IT field before being considered for a job. Some organizations may require experience in their industry or area of specialization. For example, a hospital IT director may need experience in the healthcare field. Certification is typically optional for computer and information systems managers, although some employers prefer to hire candidates who have it. Usually awarded after passing a test, certification shows that candidates have the specific knowledge or skills required to work in the occupation. Certification may be particularly relevant for some computer and information systems managers, such as those who oversee IT security. For more information and to search for relevant certifications, visit CareerOneStop’s certification finder. Analytical skills. IT managers must evaluate information to develop and implement strategic plans for their organization. Communication skills. IT managers must be able to explain their work to top executives and give clear instructions to their subordinates. Computer skills. IT managers must have expertise in computer hardware, software, and systems, as well as a working knowledge of programming languages. Decision-making skills. IT managers must determine how to allocate resources in order to reach their organization’s goals. Leadership skills. IT managers must direct and motivate IT teams or departments so that workers are efficient and effective. Problem-solving skills. IT managers must be able to troubleshoot issues that arise and provide solutions.","Analytical, skills., Communication skills., Computer skills., Decision-making skills., Leadership skills., Problem-solving skills.",
Construction Managers,https://www.bls.gov/ooh/management/construction-managers.htm,"$104,900 per year",$50.43 per hour,9% (Much faster than average),Bachelor's degree,None,Moderate-term on-the-job training,"520,900","47,600","Prepare cost estimates, budgets, and work timetables, Interpret and explain contracts and technical information to other professionals, Collaborate with architects, engineers, and other construction specialists, Select subcontractors and schedule and coordinate their activities, Monitor projects and report progress and budget matters to the construction firm and clients, Respond to work delays, emergencies, and other problems with the project, Ensure that the project complies with legal requirements, such building and safety codes","Construction managers typically need a bachelor’s degree, and they learn management techniques through on-the-job training. Large construction firms may prefer to hire candidates who have both construction experience and a bachelor’s degree in a construction-related field. Firms might hire as managers those who have a high school diploma and many years of experience in a construction trade; however, these people may be more likely to work as self-employed general contractors than to be hired as construction managers. Construction managers typically need a bachelor's degree in construction, business, engineering, or a related field. Bachelor’s degree programs in construction-related majors often include courses in project control and management, design, construction methods and materials, and cost estimation. Courses in business, communications, and mathematics are also helpful. Some construction managers earn an associate’s degree in construction management or construction technology. An associate’s degree combined with work experience may be typical for managers who supervise small projects. Candidates who have a high school diploma and several years of relevant work experience may qualify to become construction managers. However, these people may be more likely to work as self-employed general contractors than to be hired as construction managers. Newly hired construction managers typically work under the guidance of an experienced manager for up to 1 year. Depending on the firm, however, this on-the-job training may last for several years. Construction experience is important for these managers, especially for ones who do not have a bachelor’s degree. For construction managers to qualify for jobs solely through experience, they must have worked many years in carpentry, masonry, or other construction specialties. College students who participate in internships and cooperative education programs may gain experience through such programs. Some states require construction managers to be licensed. For more information, contact your state licensing board. Professional certification, although not required, demonstrates a particular level of knowledge and experience. The Construction Management Association of America awards the Certified Construction Manager (CCM) credential to workers who have the required experience and who pass a technical exam. Candidates complete a self-study course that covers topics related to construction managers, including the manager’s role, legal issues, and risk allocation. The American Institute of Constructors awards the Associate Constructor (AC) and Certified Professional Constructor (CPC) credential to candidates who meet its requirements, which include passing construction exams. Analytical skills. Construction managers must be able to plan strategies, investigate project cost variances, and solve problems over the course of a project. Business skills. Construction managers need to prepare and follow project budgets, hire and manage staff, and coordinate with other workers and managers. Self-employed construction managers must generate their own business opportunities and be proactive in finding new clients. Communication skills. Construction managers must be able to clearly convey information orally and in writing. In addition to talking with owners and clients, managers must give clear orders and explain complex information to construction workers and discuss technical details with inspectors and other specialists, such as engineers. Decision-making skills. Construction managers need to choose personnel and subcontractors for specific tasks and jobs. They also must make myriad judgment calls about projects to ensure that they adhere to deadlines and budgets. Leadership skills. Construction managers must effectively delegate tasks to construction workers, subcontractors, and other lower level managers to ensure that projects are completed accurately and on time. Technical skills. Construction managers must have an applied knowledge of concepts and practices common in the industry, such as construction technologies, contracts, and technical drawings.","Analytical skills., Business skills., Communication skills., Decision-making skills., Leadership skills., Technical skills.",
"Elementary, Middle, and High School Principals",https://www.bls.gov/ooh/management/elementary-middle-and-high-school-principals.htm,,,-1% (Decline),Master's degree,5 years or more,None,"316,600","-1,600","Manage school activities and staff, including teachers and support personnel, Establish and oversee class schedules, Develop, implement, and maintain curriculum standards, Counsel and discipline students, Observe teachers and evaluate their performance, Meet with parents and teachers to discuss students’ progress and behavior, Assess and prepare reports on test scores and other student achievement data, Organize professional development programs and workshops for staff, Manage the school’s budget, order school supplies, and schedule maintenance, Establish and coordinate security procedures for students, staff, and visitors","Most schools require elementary, middle, and high school principals to have a master’s degree in education administration or leadership. Principals also need teaching experience. Principals typically need a master’s degree in education leadership or education administration. These master’s degree programs teach prospective principals how to manage staff, create budgets, set goals, and work with parents and the community. To enter a master's degree program, candidates typically need a bachelor's degree in education, counseling, or a related field. Principals need several years of teaching experience. For more information on how to become a teacher, see the profiles on kindergarten and elementary school teachers, middle school teachers, and high school teachers. Most states require public school principals to be licensed as school administrators. Licensure requirements vary by state, but most require a master’s degree. Some states have alternative programs for candidates who do not have a master’s degree in education administration or leadership. Most states also require candidates to pass an exam and a background check. Principals in private schools are not required to have a state-issued license. An assistant principal can advance to become a principal. Some principals advance to become superintendents or other types of education administrators, which may require additional education. Others become instructional coordinators. Communication skills. Principals must communicate effectively with students, teachers, and parents. For example, when dealing with academic issues, they must listen to students and teachers in order to restate their understanding of the problem. Critical-thinking skills. Principals analyze student test results and testing procedures to determine if improvements are needed. They must assess available options to help students achieve the best results. Decision-making skills. Because principals are responsible for students, staff, and the overall operation of the school, they consider many factors when making decisions. Interpersonal skills. Principals work with teachers, parents, and superintendents and must develop positive working relationships with them. Leadership skills. Principals set educational goals and establish policies and procedures for the school. They need to be able to motivate staff to achieve these goals. Problem-solving skills. Teachers, students, and other staff report problems to the principal. Principals need to be able to analyze problems and find appropriate solutions.","Communication skills., Critical-thinking skills., Decision-making skills., Interpersonal skills., Leadership skills., Problem-solving skills.",
